drone_type,temperature,wind_speed,rain,humidity,time_of_day,mission,payload,altitude,enemy_contact,temp_humidity,base_life,wind_rain,flight_duration_pct
Wasp AE,59.95,3.26,1,59.97,9,recon,0.065,328.0,0,3594.99,60,3.26,33.97
RQ-4 Global Hawk,31.53,19.84,0,42.28,5,strike,970.851,222.0,1,1333.1,3600,0.0,75.0
MQ-9 Reaper,4.31,5.72,1,68.52,7,recon,1347.772,1069.0,1,295.54,2400,5.72,70.51
ScanEagle,43.68,4.98,1,90.88,10,recon,2.45,771.0,0,3969.8,900,4.98,94.17
MQ-9 Reaper,24.54,5.0,0,46.03,5,recon,471.575,232.0,0,1129.43,2400,0.0,89.61
Wasp AE,11.14,13.2,1,90.7,17,recon,0.015,735.0,0,1009.92,60,13.2,1.67
ScanEagle,47.91,11.46,1,98.59,21,surveillance,1.604,1246.0,1,4723.72,900,11.46,86.15
Wasp AE,-3.04,14.76,0,23.19,14,recon,0.099,760.0,0,-70.5,60,0.0,1.67
RQ-4 Global Hawk,12.09,12.38,1,11.85,15,recon,1015.808,937.0,1,143.31,3600,12.38,80.51
MQ-9 Reaper,45.78,9.11,0,58.64,12,strike,28.215,220.0,0,2684.73,2400,0.0,97.73
ScanEagle,-5.41,17.65,1,53.71,21,recon,1.065,802.0,0,-290.43,900,17.65,64.19
RQ-4 Global Hawk,39.81,14.26,0,77.89,7,surveillance,1063.224,1144.0,1,3100.75,3600,0.0,78.77
MQ-9 Reaper,12.52,13.42,0,53.76,7,recon,1304.896,452.0,1,672.87,2400,0.0,68.04
RQ-4 Global Hawk,48.01,16.58,1,78.07,11,recon,1297.121,154.0,1,3748.25,3600,16.58,72.81
Wasp AE,53.72,18.64,1,21.73,6,surveillance,0.08,1227.0,0,1167.1,60,18.64,1.67
Wasp AE,9.75,2.73,0,95.38,23,strike,0.041,390.0,0,930.06,60,0.0,62.83
MQ-9 Reaper,-2.73,10.97,1,42.41,21,surveillance,1082.891,913.0,0,-115.7,2400,10.97,73.96
ScanEagle,53.27,3.16,0,85.45,3,surveillance,0.162,464.0,1,4551.84,900,0.0,97.48
Wasp AE,31.07,13.03,1,82.68,11,surveillance,0.091,144.0,1,2568.47,60,13.03,1.67
MQ-9 Reaper,38.46,14.92,0,24.43,14,surveillance,779.103,1236.0,0,939.65,2400,0.0,77.73
ScanEagle,-7.9,17.94,1,29.73,16,recon,2.527,636.0,1,-234.91,900,17.94,60.83
MQ-9 Reaper,11.9,16.58,0,33.25,4,strike,92.939,256.0,1,395.71,2400,0.0,89.35
RQ-4 Global Hawk,-8.49,7.52,1,23.8,18,strike,1316.422,426.0,1,-202.05,3600,7.52,76.85
RQ-4 Global Hawk,30.56,6.98,0,64.49,14,surveillance,1075.807,245.0,1,1970.53,3600,0.0,81.46
RQ-4 Global Hawk,-0.76,9.56,1,34.3,23,strike,1129.479,1100.0,0,-25.95,3600,9.56,79.57
ScanEagle,45.57,5.3,0,64.78,15,surveillance,2.488,526.0,0,2952.37,900,0.0,95.44
Wasp AE,43.16,9.2,0,50.76,13,surveillance,0.051,902.0,1,2191.2,60,0.0,1.67
ScanEagle,69.23,1.51,1,98.91,3,strike,1.534,288.0,0,6847.0,900,1.51,94.67
Wasp AE,-2.88,10.93,1,44.09,15,recon,0.033,358.0,0,-127.12,60,10.93,1.67
RQ-4 Global Hawk,9.82,14.44,0,23.66,12,surveillance,818.279,354.0,0,232.34,3600,0.0,82.88
Wasp AE,33.03,9.72,1,65.38,23,recon,0.049,360.0,0,2159.7,60,9.72,1.67
Wasp AE,31.8,11.32,0,48.71,10,surveillance,0.081,746.0,0,1548.87,60,0.0,1.67
RQ-4 Global Hawk,9.33,18.39,1,81.99,9,recon,1331.088,1064.0,1,764.76,3600,18.39,70.49
Wasp AE,47.04,13.06,1,35.07,21,surveillance,0.07,938.0,1,1649.79,60,13.06,1.67
MQ-9 Reaper,34.61,1.53,0,33.89,13,strike,1002.67,606.0,0,1172.69,2400,0.0,78.84
ScanEagle,42.13,0.33,0,61.16,22,recon,2.687,1200.0,1,2576.85,900,0.0,94.94
MQ-9 Reaper,55.14,17.7,0,83.03,23,strike,18.413,952.0,0,4578.82,2400,0.0,89.2
ScanEagle,-8.59,2.56,1,29.32,13,recon,1.802,141.0,1,-251.81,900,2.56,94.38
RQ-4 Global Hawk,21.08,13.95,0,13.58,13,surveillance,1174.121,1175.0,1,286.27,3600,0.0,77.31
ScanEagle,54.6,1.75,1,45.04,21,strike,1.507,474.0,1,2459.43,900,1.75,94.97
RQ-4 Global Hawk,64.79,16.48,0,15.94,12,surveillance,953.538,1477.0,0,1032.66,3600,0.0,79.01
Wasp AE,63.45,5.45,0,47.14,18,surveillance,0.044,1221.0,1,2990.8,60,0.0,44.35
ScanEagle,69.77,12.94,1,72.75,3,strike,1.948,975.0,0,5075.64,900,12.94,82.08
ScanEagle,7.02,2.07,0,72.94,11,recon,2.822,566.0,0,511.88,900,0.0,95.57
Wasp AE,58.57,10.66,1,67.22,2,surveillance,0.028,833.0,0,3937.02,60,10.66,1.67
ScanEagle,37.83,4.29,0,77.87,1,strike,0.021,766.0,1,2945.32,900,0.0,97.81
ScanEagle,52.51,14.88,1,96.78,17,surveillance,2.361,685.0,0,5081.76,900,14.88,75.94
Wasp AE,4.82,9.07,1,70.63,0,recon,0.049,293.0,1,340.14,60,9.07,1.67
RQ-4 Global Hawk,61.07,6.35,1,92.49,7,strike,461.431,1292.0,1,5648.65,3600,6.35,91.34
MQ-9 Reaper,67.23,14.86,0,49.59,2,recon,549.734,1450.0,1,3334.22,2400,0.0,81.83
ScanEagle,31.57,15.89,0,31.85,12,recon,1.632,490.0,1,1005.46,900,0.0,74.28
ScanEagle,6.18,17.95,0,51.71,14,recon,2.918,413.0,0,319.73,900,0.0,62.84
MQ-9 Reaper,1.75,6.13,1,71.7,12,strike,200.794,1091.0,0,125.42,2400,6.13,94.39
Wasp AE,55.52,7.71,1,84.13,18,strike,0.01,410.0,1,4670.7,60,7.71,1.67
ScanEagle,46.54,15.04,0,42.56,10,recon,0.364,1287.0,1,1980.7,900,0.0,78.78
RQ-4 Global Hawk,54.57,3.45,1,58.68,20,surveillance,1046.625,931.0,0,3202.2,3600,3.45,82.03
MQ-9 Reaper,55.04,16.02,0,89.76,23,strike,730.726,320.0,1,4940.53,2400,0.0,76.63
RQ-4 Global Hawk,0.17,12.63,0,41.92,8,recon,1326.242,366.0,0,7.3,3600,0.0,75.35
Wasp AE,19.04,11.17,1,42.95,18,strike,0.028,791.0,0,818.03,60,11.17,1.67
MQ-9 Reaper,42.38,8.13,0,40.34,15,recon,426.75,203.0,1,1709.53,2400,0.0,89.65
Wasp AE,24.89,15.58,0,16.31,9,surveillance,0.049,723.0,0,406.12,60,0.0,1.67
MQ-9 Reaper,48.83,3.51,1,19.65,2,strike,27.77,272.0,1,959.62,2400,3.51,98.16
ScanEagle,36.63,8.14,1,40.17,14,recon,1.448,867.0,0,1471.27,900,8.14,93.37
Wasp AE,58.0,5.9,0,29.17,21,recon,0.059,235.0,1,1692.03,60,0.0,30.71
ScanEagle,15.81,7.78,0,66.91,15,recon,2.703,862.0,1,1057.67,900,0.0,93.24
ScanEagle,68.81,0.5,0,24.18,23,surveillance,1.051,973.0,0,1663.94,900,0.0,96.92
MQ-9 Reaper,47.11,14.42,1,17.82,13,recon,1249.741,1455.0,0,839.32,2400,14.42,68.0
ScanEagle,44.84,4.01,0,14.66,22,recon,2.192,851.0,1,657.17,900,0.0,95.6
MQ-9 Reaper,35.96,11.82,0,82.79,14,recon,905.136,1031.0,1,2976.86,2400,0.0,77.7
MQ-9 Reaper,16.87,19.9,1,59.82,13,recon,599.199,159.0,1,1009.32,2400,19.9,72.85
Wasp AE,69.34,8.51,0,87.69,13,surveillance,0.054,619.0,1,6080.8,60,0.0,1.67
Wasp AE,3.43,19.95,0,80.44,0,surveillance,0.036,541.0,1,275.61,60,0.0,1.67
MQ-9 Reaper,23.85,1.77,0,30.62,9,surveillance,614.221,872.0,0,730.44,2400,0.0,87.13
RQ-4 Global Hawk,11.23,1.34,1,13.7,20,surveillance,559.66,809.0,1,153.8,3600,1.34,90.16
RQ-4 Global Hawk,43.36,5.39,0,34.7,22,recon,720.063,1168.0,1,1504.42,3600,0.0,87.4
MQ-9 Reaper,57.66,16.63,1,59.44,0,strike,535.731,109.0,0,3427.02,2400,16.63,79.76
RQ-4 Global Hawk,20.39,0.53,0,23.53,18,strike,540.91,750.0,0,479.7,3600,0.0,90.99
MQ-9 Reaper,63.21,7.25,1,67.2,4,strike,304.904,989.0,0,4247.73,2400,7.25,91.86
Wasp AE,59.58,0.34,1,57.95,5,strike,0.096,1293.0,1,3452.67,60,0.34,17.6
Wasp AE,60.88,19.17,0,51.43,9,recon,0.078,1479.0,1,3131.06,60,0.0,1.67
ScanEagle,35.46,9.47,0,38.47,8,recon,0.57,229.0,0,1364.26,900,0.0,94.08
RQ-4 Global Hawk,19.55,13.73,1,73.52,9,surveillance,129.363,275.0,0,1437.74,3600,13.73,94.75
RQ-4 Global Hawk,11.95,11.0,0,27.63,9,recon,1057.713,689.0,1,330.14,3600,0.0,80.64
RQ-4 Global Hawk,1.06,17.65,1,80.22,14,strike,897.931,725.0,0,84.74,3600,17.65,78.5
Wasp AE,2.28,19.78,1,52.99,0,recon,0.022,813.0,1,120.77,60,19.78,1.67
MQ-9 Reaper,-2.76,8.82,1,37.24,13,recon,103.897,1424.0,0,-102.97,2400,8.82,95.61
Wasp AE,57.3,12.66,1,72.38,12,strike,0.063,654.0,1,4147.5,60,12.66,1.67
RQ-4 Global Hawk,15.32,9.28,0,34.8,13,recon,582.261,268.0,0,533.03,3600,0.0,89.32
RQ-4 Global Hawk,65.95,17.97,1,78.91,9,recon,232.813,587.0,1,5204.14,3600,17.97,89.09
RQ-4 Global Hawk,60.48,17.38,0,94.0,22,strike,641.688,387.0,1,5684.93,3600,0.0,83.02
Wasp AE,62.51,0.77,1,99.58,18,strike,0.062,662.0,0,6224.72,60,0.77,33.35
RQ-4 Global Hawk,35.95,16.46,0,28.83,1,strike,162.007,1258.0,1,1036.37,3600,0.0,92.06
Wasp AE,1.3,1.57,0,66.19,0,strike,0.066,1383.0,0,86.32,60,0.0,60.04
MQ-9 Reaper,15.73,13.21,0,24.72,19,recon,196.275,305.0,1,388.91,2400,0.0,91.47
Wasp AE,65.68,15.11,1,41.5,20,strike,0.032,750.0,1,2725.55,60,15.11,1.67
MQ-9 Reaper,51.4,7.46,0,62.32,10,recon,1021.227,717.0,0,3203.46,2400,0.0,77.6
Wasp AE,-2.26,2.19,0,89.35,5,strike,0.082,629.0,0,-202.34,60,0.0,50.41
RQ-4 Global Hawk,1.48,0.26,1,64.85,17,strike,1349.225,110.0,0,96.16,3600,0.26,76.96
RQ-4 Global Hawk,39.03,15.77,1,33.18,21,strike,720.831,520.0,0,1295.07,3600,15.77,83.25
ScanEagle,8.59,3.7,0,23.52,18,surveillance,2.531,1385.0,0,202.18,900,0.0,96.35
Wasp AE,56.19,3.26,0,62.98,13,recon,0.057,719.0,1,3539.3,60,0.0,59.07
ScanEagle,-1.5,15.51,1,77.35,16,strike,1.342,1010.0,1,-116.19,900,15.51,74.01
Wasp AE,12.97,1.22,1,74.68,0,surveillance,0.084,272.0,0,968.41,60,1.22,34.68
RQ-4 Global Hawk,22.31,19.26,0,68.28,22,surveillance,153.124,942.0,0,1522.99,3600,0.0,89.49
RQ-4 Global Hawk,57.26,1.35,0,11.3,20,surveillance,152.285,1113.0,1,647.07,3600,0.0,97.1
MQ-9 Reaper,37.26,13.28,1,83.67,7,strike,1664.371,181.0,0,3117.33,2400,13.28,60.55
MQ-9 Reaper,56.36,18.32,0,23.27,22,surveillance,77.092,142.0,1,1311.49,2400,0.0,86.9
ScanEagle,36.23,11.05,1,64.52,12,strike,1.445,937.0,0,2337.11,900,11.05,88.92
ScanEagle,7.21,1.19,1,33.11,17,surveillance,2.533,1372.0,0,238.64,900,1.19,94.95
Wasp AE,51.48,10.81,0,54.88,8,surveillance,0.078,1431.0,1,2825.59,60,0.0,1.67
Wasp AE,38.28,17.12,0,75.79,12,surveillance,0.099,141.0,0,2901.32,60,0.0,1.67
ScanEagle,63.48,12.31,0,43.12,16,strike,2.439,882.0,0,2737.67,900,0.0,85.44
ScanEagle,-1.03,3.75,0,24.33,8,recon,2.543,1020.0,0,-25.07,900,0.0,95.4
RQ-4 Global Hawk,58.47,11.65,1,22.24,19,recon,905.608,1424.0,1,1300.34,3600,11.65,82.56
ScanEagle,-4.4,9.84,1,14.34,6,strike,2.01,602.0,0,-63.02,900,9.84,89.65
RQ-4 Global Hawk,63.25,12.03,0,92.92,0,recon,296.981,1345.0,0,5876.92,3600,0.0,92.66
ScanEagle,15.64,10.38,1,98.9,13,surveillance,0.728,501.0,0,1547.14,900,10.38,90.58
RQ-4 Global Hawk,50.84,5.4,0,53.21,21,surveillance,791.963,366.0,1,2705.02,3600,0.0,86.12
RQ-4 Global Hawk,7.81,1.0,1,69.38,16,strike,1238.021,1485.0,1,541.59,3600,1.0,78.69
ScanEagle,-2.71,14.57,0,29.36,3,strike,1.561,568.0,1,-79.59,900,0.0,78.34
RQ-4 Global Hawk,56.48,13.35,0,84.59,5,recon,460.115,197.0,0,4777.47,3600,0.0,89.24
ScanEagle,25.33,2.04,1,25.84,10,recon,1.147,165.0,0,654.37,900,2.04,96.91
RQ-4 Global Hawk,46.27,12.11,1,48.14,18,surveillance,1329.279,297.0,1,2227.46,3600,12.11,75.32
ScanEagle,46.86,16.81,1,40.18,5,recon,0.11,652.0,0,1883.16,900,16.81,70.44
RQ-4 Global Hawk,21.83,6.41,0,87.42,6,surveillance,1152.714,1458.0,1,1908.71,3600,0.0,80.25
Wasp AE,18.87,5.99,1,77.3,17,surveillance,0.04,1111.0,1,1458.39,60,5.99,19.84
RQ-4 Global Hawk,9.44,16.8,0,91.0,14,surveillance,639.336,539.0,0,858.59,3600,0.0,83.97
ScanEagle,20.77,17.4,0,64.55,21,strike,1.306,1225.0,1,1340.81,900,0.0,67.41
ScanEagle,-6.2,12.5,0,13.07,19,recon,1.668,948.0,0,-80.95,900,0.0,85.35
Wasp AE,8.92,3.45,0,85.2,0,recon,0.023,166.0,1,760.06,60,0.0,57.93
RQ-4 Global Hawk,38.75,19.8,1,35.06,19,surveillance,1282.038,580.0,0,1358.74,3600,19.8,69.87
MQ-9 Reaper,63.88,19.21,0,38.89,16,recon,1490.544,1095.0,0,2484.0,2400,0.0,56.11
MQ-9 Reaper,64.55,10.44,1,26.7,23,recon,180.673,122.0,0,1723.45,2400,10.44,93.18
MQ-9 Reaper,23.17,8.25,0,94.95,13,strike,119.278,1373.0,0,2199.9,2400,0.0,96.36
Wasp AE,-7.42,12.19,1,95.34,0,recon,0.021,840.0,1,-707.87,60,12.19,1.67
ScanEagle,2.64,1.68,0,31.25,15,strike,1.1,1437.0,1,82.51,900,0.0,96.89
Wasp AE,15.12,13.52,1,65.19,7,recon,0.058,405.0,1,985.83,60,13.52,1.67
MQ-9 Reaper,30.39,9.73,0,87.97,16,surveillance,1014.934,790.0,1,2673.7,2400,0.0,76.78
RQ-4 Global Hawk,14.89,5.07,1,71.36,11,strike,1043.771,1488.0,0,1062.34,3600,5.07,82.08
Wasp AE,53.58,1.5,1,20.35,15,strike,0.008,621.0,1,1090.32,60,1.5,47.81
Wasp AE,39.15,3.95,1,20.41,10,surveillance,0.02,270.0,1,799.07,60,3.95,45.57
MQ-9 Reaper,32.22,18.23,1,16.01,10,surveillance,1266.844,594.0,1,515.78,2400,18.23,62.23
ScanEagle,52.21,19.95,0,11.69,7,strike,1.458,597.0,0,610.25,900,0.0,52.81
RQ-4 Global Hawk,55.04,16.78,0,40.11,6,strike,982.724,1184.0,1,2207.53,3600,0.0,78.13
ScanEagle,57.8,13.97,0,53.54,7,strike,2.844,984.0,1,3094.96,900,0.0,79.54
ScanEagle,59.86,11.18,1,15.29,2,recon,0.533,119.0,0,915.56,900,11.18,88.85
ScanEagle,19.24,6.82,0,12.54,11,surveillance,0.074,678.0,0,241.29,900,0.0,98.19
ScanEagle,54.04,15.83,1,21.63,4,recon,2.671,884.0,1,1168.98,900,15.83,71.31
ScanEagle,62.92,6.98,0,46.7,16,surveillance,2.874,394.0,1,2938.03,900,0.0,93.28
MQ-9 Reaper,24.02,2.5,1,10.25,9,recon,256.301,695.0,1,246.2,2400,2.5,93.92
Wasp AE,35.11,12.55,0,10.95,7,strike,0.077,471.0,1,384.49,60,0.0,1.67
Wasp AE,17.0,3.83,1,94.12,11,surveillance,0.004,755.0,1,1600.19,60,3.83,44.29
ScanEagle,5.12,6.39,1,94.17,0,recon,1.379,1216.0,0,482.33,900,6.39,93.68
RQ-4 Global Hawk,0.26,2.55,1,32.44,5,recon,600.967,405.0,0,8.35,3600,2.55,89.25
Wasp AE,-9.89,14.91,1,67.33,5,recon,0.087,475.0,0,-665.88,60,14.91,1.67
RQ-4 Global Hawk,29.12,4.8,0,80.66,17,recon,621.859,1411.0,1,2349.04,3600,0.0,89.27
MQ-9 Reaper,30.73,7.25,0,48.14,22,recon,631.71,1281.0,0,1479.59,2400,0.0,85.84
Wasp AE,68.73,12.96,1,83.34,10,surveillance,0.036,344.0,0,5727.91,60,12.96,1.67
RQ-4 Global Hawk,38.82,10.61,1,87.08,2,surveillance,1041.686,155.0,1,3380.19,3600,10.61,80.66
RQ-4 Global Hawk,27.59,10.1,0,43.34,22,recon,829.351,583.0,1,1196.04,3600,0.0,84.63
ScanEagle,55.63,10.1,0,55.23,2,recon,2.29,1020.0,0,3072.35,900,0.0,90.02
Wasp AE,49.46,0.99,0,61.49,5,surveillance,0.02,1466.0,1,3041.22,60,0.0,61.69
ScanEagle,60.03,9.35,0,70.96,3,recon,1.57,511.0,1,4259.38,900,0.0,91.04
MQ-9 Reaper,66.95,14.15,0,78.48,0,strike,387.275,775.0,0,5254.49,2400,0.0,86.29
RQ-4 Global Hawk,1.57,17.94,1,44.97,16,strike,99.978,993.0,0,70.7,3600,17.94,91.52
Wasp AE,55.28,13.29,0,95.14,0,surveillance,0.093,1262.0,1,5258.63,60,0.0,1.67
Wasp AE,64.69,12.18,0,26.63,12,recon,0.06,536.0,0,1722.81,60,0.0,1.67
RQ-4 Global Hawk,39.29,14.99,0,29.78,14,strike,1278.38,1462.0,0,1169.94,3600,0.0,74.86
RQ-4 Global Hawk,56.85,1.41,0,70.73,8,surveillance,902.666,549.0,1,4021.38,3600,0.0,84.47
ScanEagle,54.36,3.95,0,51.14,10,recon,1.352,1182.0,0,2779.98,900,0.0,96.96
MQ-9 Reaper,43.92,1.32,1,54.9,23,recon,1114.707,723.0,1,2411.03,2400,1.32,75.56
Wasp AE,-3.83,12.63,1,66.41,5,surveillance,0.07,498.0,1,-254.37,60,12.63,1.67
MQ-9 Reaper,43.78,5.65,1,31.73,18,strike,572.467,887.0,1,1389.03,2400,5.65,86.94
MQ-9 Reaper,21.72,18.79,0,76.5,23,surveillance,1219.94,866.0,1,1661.69,2400,0.0,62.37
MQ-9 Reaper,15.88,0.18,1,71.5,19,surveillance,856.636,694.0,1,1135.16,2400,0.18,81.3
ScanEagle,7.32,4.98,0,86.72,7,strike,2.352,562.0,1,634.7,900,0.0,94.94
Wasp AE,29.84,18.19,0,67.04,12,strike,0.007,199.0,0,2000.55,60,0.0,1.67
RQ-4 Global Hawk,58.74,8.9,1,15.7,10,recon,967.858,829.0,1,922.09,3600,8.9,82.51
Wasp AE,32.41,13.09,1,15.8,5,surveillance,0.062,507.0,0,511.88,60,13.09,1.67
Wasp AE,44.0,10.39,0,98.23,7,recon,0.064,1010.0,0,4321.65,60,0.0,1.67
MQ-9 Reaper,36.49,9.86,1,39.58,9,strike,1602.455,138.0,1,1444.09,2400,9.86,64.08
Wasp AE,-1.82,1.21,1,15.47,4,strike,0.035,1437.0,1,-28.08,60,1.21,24.03
RQ-4 Global Hawk,62.37,18.97,1,96.95,10,recon,677.739,644.0,0,6047.31,3600,18.97,80.66
MQ-9 Reaper,19.47,15.87,1,41.35,11,strike,1118.651,128.0,1,805.15,2400,15.87,69.01
RQ-4 Global Hawk,58.01,19.02,0,49.59,6,recon,1224.194,176.0,1,2876.64,3600,0.0,71.69
RQ-4 Global Hawk,48.04,15.8,1,34.23,22,strike,197.518,985.0,1,1644.37,3600,15.8,91.68
MQ-9 Reaper,-5.24,19.6,0,85.97,23,recon,1206.977,813.0,1,-450.64,2400,0.0,60.5
RQ-4 Global Hawk,-2.74,12.99,1,44.09,1,surveillance,1145.131,927.0,0,-120.74,3600,12.99,77.78
ScanEagle,-2.74,3.54,0,66.81,5,strike,1.102,242.0,0,-183.03,900,0.0,96.54
Wasp AE,13.58,1.16,0,69.34,4,recon,0.059,936.0,0,941.65,60,0.0,71.27
Wasp AE,40.6,13.82,1,32.26,10,surveillance,0.014,211.0,1,1310.07,60,13.82,1.67
RQ-4 Global Hawk,45.25,19.25,1,32.32,17,surveillance,499.408,285.0,1,1462.51,3600,19.25,83.4
Wasp AE,6.71,14.06,0,36.75,21,recon,0.05,1371.0,1,246.5,60,0.0,1.67
ScanEagle,38.31,7.53,0,95.16,1,surveillance,2.064,882.0,0,3645.91,900,0.0,93.66
Wasp AE,31.48,5.44,0,74.43,16,strike,0.023,1055.0,1,2343.22,60,0.0,57.69
RQ-4 Global Hawk,7.84,13.77,1,19.81,16,recon,47.918,1067.0,0,155.37,3600,13.77,95.91
RQ-4 Global Hawk,22.96,16.09,0,97.55,20,surveillance,335.91,1239.0,0,2239.36,3600,0.0,89.75
Wasp AE,21.85,3.04,1,68.16,16,recon,0.02,1214.0,0,1489.61,60,3.04,55.18
MQ-9 Reaper,15.44,8.72,0,57.01,15,surveillance,394.691,942.0,1,880.54,2400,0.0,90.19
ScanEagle,7.71,16.69,1,55.5,14,recon,0.881,1108.0,1,427.88,900,16.69,69.85
RQ-4 Global Hawk,25.6,4.12,1,87.17,20,strike,36.207,168.0,1,2231.55,3600,4.12,98.79
ScanEagle,30.77,14.3,1,77.13,20,recon,0.983,152.0,0,2373.24,900,14.3,80.55
ScanEagle,3.22,4.12,1,35.03,18,recon,0.041,1340.0,1,112.73,900,4.12,96.51
MQ-9 Reaper,20.39,9.12,0,34.54,8,recon,604.552,1152.0,1,704.3,2400,0.0,85.71
ScanEagle,63.26,13.1,0,82.58,13,recon,1.997,1460.0,1,5223.72,900,0.0,83.25
MQ-9 Reaper,3.26,16.22,1,36.19,19,strike,1640.125,861.0,0,117.86,2400,16.22,57.48
MQ-9 Reaper,68.96,17.02,1,98.54,10,surveillance,1566.658,1480.0,0,6795.81,2400,17.02,57.76
RQ-4 Global Hawk,51.84,15.64,0,24.77,8,surveillance,667.463,900.0,0,1284.25,3600,0.0,84.55
Wasp AE,-8.55,19.64,0,69.62,3,recon,0.012,929.0,1,-595.55,60,0.0,1.67
ScanEagle,51.17,0.28,0,25.85,17,surveillance,2.144,1413.0,1,1322.84,900,0.0,96.07
ScanEagle,4.28,3.02,0,81.41,4,strike,2.41,1475.0,0,348.17,900,0.0,95.44
Wasp AE,21.52,15.17,1,98.27,15,strike,0.097,101.0,1,2114.42,60,15.17,1.67
Wasp AE,-3.61,7.28,1,66.05,17,recon,0.031,247.0,1,-238.2,60,7.28,1.67
RQ-4 Global Hawk,59.49,4.38,1,19.37,17,recon,865.684,1333.0,0,1152.3,3600,4.38,85.01
MQ-9 Reaper,38.76,9.1,1,72.75,12,strike,344.941,132.0,0,2819.55,2400,9.1,90.83
MQ-9 Reaper,63.48,11.05,0,52.21,22,recon,1113.965,1390.0,1,3314.37,2400,0.0,73.52
ScanEagle,24.19,3.91,1,33.29,20,surveillance,2.06,1228.0,1,805.31,900,3.91,95.12
RQ-4 Global Hawk,-0.42,2.0,1,85.35,15,recon,831.275,1056.0,1,-35.47,3600,2.0,85.38
Wasp AE,36.51,8.36,0,46.62,1,recon,0.043,1427.0,1,1701.94,60,0.0,1.67
MQ-9 Reaper,-2.77,19.96,0,55.4,19,strike,336.343,1428.0,0,-153.65,2400,0.0,78.43
ScanEagle,8.88,10.0,0,90.14,9,strike,1.433,754.0,1,800.16,900,0.0,90.92
ScanEagle,19.67,12.88,1,81.64,16,strike,2.289,860.0,0,1605.95,900,12.88,83.68
Wasp AE,59.21,7.82,0,56.27,20,strike,0.049,1353.0,0,3331.92,60,0.0,20.39
ScanEagle,11.95,13.28,0,10.41,16,strike,2.421,835.0,0,124.33,900,0.0,83.38
Wasp AE,50.27,10.21,0,38.0,12,strike,0.091,1428.0,1,1910.31,60,0.0,1.67
RQ-4 Global Hawk,46.27,4.15,0,17.37,23,recon,1239.625,120.0,0,803.48,3600,0.0,78.96
ScanEagle,29.21,15.04,0,74.31,3,surveillance,0.578,484.0,1,2170.15,900,0.0,78.39
ScanEagle,52.65,1.89,1,56.56,0,surveillance,2.912,1292.0,0,2977.66,900,1.89,93.83
MQ-9 Reaper,50.39,7.13,0,12.1,12,surveillance,184.414,1254.0,0,609.71,2400,0.0,95.22
MQ-9 Reaper,67.44,13.52,0,78.96,21,surveillance,966.793,168.0,1,5324.95,2400,0.0,74.58
Wasp AE,28.66,18.66,0,31.64,12,recon,0.014,245.0,1,906.71,60,0.0,1.67
MQ-9 Reaper,23.22,8.19,1,96.06,17,strike,1149.612,161.0,0,2230.38,2400,8.19,74.52
Wasp AE,37.38,16.93,0,43.73,4,recon,0.069,446.0,0,1634.38,60,0.0,1.67
ScanEagle,-9.53,5.43,0,49.54,9,recon,1.989,572.0,0,-472.24,900,0.0,94.78
MQ-9 Reaper,2.2,5.0,1,93.73,13,recon,400.292,1432.0,1,206.45,2400,5.0,90.32
ScanEagle,19.2,4.88,0,69.41,16,strike,0.502,1447.0,0,1332.59,900,0.0,98.15
MQ-9 Reaper,11.3,6.14,1,97.13,8,strike,1391.829,622.0,0,1097.48,2400,6.14,69.82
ScanEagle,30.78,5.28,1,94.55,10,strike,0.234,1300.0,0,2910.36,900,5.28,96.67
MQ-9 Reaper,44.92,11.74,0,89.36,7,strike,1595.509,1448.0,0,4013.79,2400,0.0,63.59
RQ-4 Global Hawk,49.68,9.47,1,25.68,17,surveillance,536.208,225.0,0,1275.51,3600,9.47,89.76
MQ-9 Reaper,2.7,10.47,1,59.2,9,surveillance,662.647,558.0,0,159.87,2400,10.47,83.22
RQ-4 Global Hawk,18.54,12.32,0,60.08,5,strike,443.123,1132.0,1,1113.64,3600,0.0,90.16
RQ-4 Global Hawk,37.49,14.03,1,75.35,17,recon,564.602,120.0,0,2825.18,3600,14.03,87.22
MQ-9 Reaper,0.13,13.47,0,86.79,20,surveillance,1530.152,376.0,0,11.57,2400,0.0,63.28
ScanEagle,23.03,13.67,0,90.3,4,surveillance,0.114,755.0,0,2079.77,900,0.0,84.33
ScanEagle,-7.06,19.93,1,22.3,1,recon,0.576,1469.0,1,-157.41,900,19.93,50.54
RQ-4 Global Hawk,0.62,6.41,1,64.18,11,recon,912.273,1474.0,1,39.97,3600,6.41,83.79
MQ-9 Reaper,7.3,1.26,0,36.2,22,recon,1640.185,1197.0,1,264.24,2400,0.0,65.01
ScanEagle,33.57,10.36,1,84.8,0,strike,1.353,1095.0,0,2846.64,900,10.36,89.49
ScanEagle,52.81,7.75,1,96.44,9,strike,2.029,1047.0,1,5092.99,900,7.75,91.98
MQ-9 Reaper,59.13,12.79,1,25.59,1,surveillance,1135.784,881.0,0,1513.17,2400,12.79,71.71
Wasp AE,12.39,13.08,1,70.64,2,recon,0.048,764.0,0,874.91,60,13.08,1.67
RQ-4 Global Hawk,19.23,10.99,0,56.97,18,recon,431.714,1403.0,0,1095.65,3600,0.0,91.3
MQ-9 Reaper,46.6,13.72,1,90.89,21,strike,672.648,1069.0,0,4236.1,2400,13.72,80.48
